birth_date,birth_time,place,lagna,sun,moon,mars,mercury,jupiter,venus,saturn,rahu,ketu,question,prediction
07:15,Pokhara, Nepal,Capricorn,Aquarius,Cancer,Libra,Virgo,Sagittarius,Scorpio,Capricorn,Gemini,Sagittarius,Career?,Saturn in 10th: Govt job after 2026. Wear blue sapphire.
14:30,Kathmandu, Nepal,Leo,Gemini,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Marriage?,Jupiter in 7th: Love marriage 2025. Wear yellow clothes.
09:45,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Health?,Moon in 6th: Watch stomach. Chant Mahamrityunjaya.
06:20,Kathmandu, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Love Life?,Venus in Capricorn: True love after delay. Offer white flowers.
15:45,Pokhara, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Job?,Mars in 10th: Engineering job 2025. Chant Hanuman Chalisa.
09:10,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Health?,Rahu in 6th: Stomach issues. Chant 11 times Mahamrityunjaya.
12:00,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Mercury in Lagna: Scholarship 2025. Donate yellow book.
04:30,Butwal, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Wealth?,Jupiter in 2nd: Wealth after 30. Donate banana.
17:55,Dharan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Marriage?,Venus in 7th: Love marriage 2026. Offer curd.
08:15,Lalitpur, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Career?,Saturn Dasha: IT job 2027. Feed crows.
13:20,Nepalgunj, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Business?,Mercury in 10th: Partnership 2025. Donate green cloth.
