birth_date,birth_time,place,lagna,sun,moon,mars,mercury,jupiter,venus,saturn,rahu,ketu,question,prediction
1998-06-12,07:15,Pokhara, Nepal,Capricorn,Aquarius,Cancer,Libra,Virgo,Sagittarius,Scorpio,Capricorn,Gemini,Sagittarius,"Career?","Saturn in 10th: Govt job after 2026. Wear blue sapphire."
2000-03-22,14:30,Kathmandu, Nepal,Leo,Gemini,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Marriage?","Jupiter in 7th: Love marriage 2025. Wear yellow clothes."
1995-11-05,09:45,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Health?","Moon in 6th: Watch stomach. Chant Mahamrityunjaya."
1997-02-14,06:20,Kathmandu, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Love Life?","Venus in Capricorn: True love after delay. Offer white flowers."
1999-08-30,15:45,Pokhara, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Job?","Mars in 10th: Engineering job 2025. Chant Hanuman Chalisa."
1996-11-22,09:10,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Health?","Rahu in 6th: Stomach issues. Chant 11 times Mahamrityunjaya."
2001-05-05,12:00,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Mercury in Lagna: Scholarship 2025. Donate yellow book."
1994-12-25,04:30,Butwal, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Wealth?","Jupiter in 2nd: Wealth after 30. Donate banana."
2000-07-18,17:55,Dharan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Marriage?","Venus in 7th: Love marriage 2026. Offer curd."
1998-03-08,08:15,Lalitpur, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Career?","Saturn Dasha: IT job 2027. Feed crows."
1995-09-17,13:20,Nepalgunj, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Business?","Mercury in 10th: Partnership 2025. Donate green cloth."
2002-01-30,10:45,Janakpur, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Future?","Mars in Lagna: Foreign after 28. Wear red sandalwood."
1997-06-11,07:00,Hetauda, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Family?","Moon in 4th: Happy mother. Offer milk on Monday."
1999-04-10,11:20,Kathmandu, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Career?","Sun in 10th: Promotion 2026. Offer water to Sun."
2001-09-15,05:30,Pokhara, Nepal,Virgo,Cancer,Libra,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Marriage?","Venus in 7th: Happy spouse. Wear diamond."
1996-02-28,16:45,Biratnagar, Nepal,Pisces,Sagittarius,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Health?","Ketu in 6th: Skin issues. Chant Ganesha."
1998-10-03,09:00,Chitwan, Nepal,Libra,Virgo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Jupiter in 5th: Top rank 2025. Donate books."
2000-12-12,13:15,Butwal, Nepal,Capricorn,Libra,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Wealth?","Saturn in 2nd: Savings grow. Keep iron box."
1997-07-20,08:30,Dharan, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Love Life?","Moon in 5th: Romantic partner. Offer sweets."
1995-05-05,10:10,Lalitpur, Nepal,Leo,Gemini,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Job?","Mars in 6th: Win competition. Wear red coral."
1999-11-11,14:20,Kathmandu, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Career?","Rahu in 10th: Sudden fame. Keep silver coin."
2001-01-01,06:00,Pokhara, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Marriage?","Jupiter in Lagna: Wise partner. Wear yellow sapphire."
1996-08-08,12:30,Biratnagar, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Health?","Saturn in 6th: Long life. Donate oil."
1998-09-09,15:45,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Mercury in 5th: Exam success. Feed birds."
2000-04-04,07:15,Butwal, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Future?","Sun in 1st: Leadership role. Chant Gayatri."
1997-03-03,11:11,Dharan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Love Life?","Venus in 5th: Creative lover. Gift perfume."
1995-12-12,09:30,Lalitpur, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Wealth?","Moon in 2nd: Family wealth. Offer milk."
1999-06-06,13:20,Kathmandu, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Job?","Mars in 10th: Action job. Wear red thread."
2001-10-10,16:00,Pokhara, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Business?","Mercury in 7th: Trade success. Donate pen."
1996-07-07,08:45,Biratnagar, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Family?","Jupiter in 4th: Happy home. Plant tulsi."
1998-11-11,10:15,Chitwan, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Health?","Ketu in 12th: Eye care. Donate blanket."
2000-02-02,14:30,Butwal, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Career?","Saturn in 10th: Stable job. Feed ants."
1997-09-09,05:00,Dharan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Marriage?","Venus in 11th: Rich spouse. Wear opal."
1995-04-04,12:12,Lalitpur, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Jupiter in 9th: Higher education. Donate ghee."
1999-01-01,07:30,Kathmandu, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Wealth?","Rahu in 11th: Sudden money. Keep black stone."
2001-05-05,11:45,Pokhara, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Love Life?","Moon in 7th: Emotional bond. Offer rice."
1996-12-12,09:10,Biratnagar, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Job?","Sun in 10th: Authority post. Wear ruby."
1998-08-08,15:20,Chitwan, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Health?","Mars in 6th: Fast recovery. Donate lentils."
2000-03-03,13:00,Butwal, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Future?","Ketu in 9th: Spiritual path. Chant Om."
1997-10-10,06:30,Dharan, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Business?","Mercury in 11th: Profit. Keep green plant."
1995-11-11,08:15,Lalitpur, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Family?","Jupiter in 2nd: Family support. Offer banana."
1999-07-07,14:45,Kathmandu, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Career?","Saturn in 7th: Business growth. Wear iron ring."
2001-02-02,10:00,Pokhara, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Marriage?","Venus in Lagna: Attractive spouse. Gift flowers."
1996-09-09,16:30,Biratnagar, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Mercury in 9th: Foreign degree. Donate ink."
1998-04-04,11:11,Chitwan, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Wealth?","Moon in 11th: Income flow. Keep silver."
2000-05-05,07:45,Butwal, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Love Life?","Mars in 5th: Passionate love. Wear coral."
1997-01-01,13:20,Dharan, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Job?","Sun in 6th: Service job. Offer wheat."
1995-06-06,09:00,Lalitpur, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Health?","Rahu in 1st: Avoid stress. Keep peacock feather."
1999-12-12,15:30,Kathmandu, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Future?","Jupiter in 12th: Foreign success. Donate yellow cloth."
2001-08-08,12:12,Pokhara, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Business?","Saturn in 11th: Long-term profit. Help poor."
1996-03-03,08:30,Biratnagar, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Family?","Moon in 4th: Peaceful home. Offer curd."
1998-10-10,14:00,Chitwan, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,"Career?","Mars in 10th: Bold decision. Chant Hanuman."
2000-11-11,10:45,Butwal, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,"Marriage?","Venus in 2nd: Sweet voice spouse. Use honey."
1997-04-04,16:15,Dharan, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Studies?","Mercury in 4th: Home study. Keep books clean."
1995-05-05,11:30,Lalitpur, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Wealth?","Jupiter in 11th: Multiple sources. Donate fruits."
1999-09-09,07:00,Kathmandu, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Love Life?","Moon in 5th: Romantic child. Gift toys."
2001-07-07,13:45,Pokhara, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,"Job?","Sun in 10th: Govt post. Wear ruby ring."
1996-01-01,09:15,Biratnagar, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,"Health?","Saturn in 1st: Strong bones. Donate sesame."
1998-02-02,15:00,Chitwan, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,"Future?","Rahu in 9th: Foreign guru. Keep silver elephant."
2000-06-06,12:30,Butwal, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,"Business?","Mercury in 10th: Online success. Gift laptop."
1997-12-12,08:00,Dharan, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,"Family?","Jupiter in 4th: Big house. Plant banana tree."
